,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
7,David López,es ESP,"DF,MF",34-110,15.0,15,1188.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,0.1,1.5,11.0,32.0,1.0,0.15,0.0,0.15,0.15,0.15,0.1,0.01,0.12,0.1,0.12,Matches,Girona,
8,Yangel Herrera,ve VEN,MF,26-013,16.0,15,1157.0,12.9,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.0,3.0,1.3,4.3,16.0,52.0,46.0,0.31,0.0,0.31,0.31,0.31,0.23,0.1,0.33,0.23,0.33,Matches,Girona,
9,Yan Couto,br BRA,"DF,MF",21-238,20.0,14,1245.0,13.8,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.6,3.6,79.0,51.0,145.0,0.07,0.43,0.51,0.07,0.51,0.07,0.19,0.26,0.07,0.26,Matches,Girona,
10,Eric García,es ESP,DF,23-018,14.0,14,1220.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.2,1.4,13.0,86.0,6.0,0.07,0.0,0.07,0.07,0.07,0.09,0.01,0.11,0.09,0.11,Matches,Girona,
11,Viktor Tsyhankov,ua UKR,"MF,DF",26-073,16.0,13,1051.0,11.7,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,3.2,3.2,3.9,7.1,38.0,41.0,101.0,0.34,0.26,0.6,0.34,0.6,0.27,0.34,0.61,0.27,0.61,Matches,Girona,
12,Arnau Martinez,es ESP,DF,20-277,13.0,10,829.0,9.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.3,1.5,23.0,43.0,11.0,0.0,0.22,0.22,0.0,0.22,0.02,0.14,0.16,0.02,0.16,Matches,Girona,
13,Cristhian Stuani,uy URU,FW,37-107,20.0,5,640.0,7.1,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,6.4,6.4,1.3,7.8,2.0,3.0,21.0,0.98,0.28,1.27,0.98,1.27,0.91,0.18,1.09,0.91,1.09,Matches,Girona,
14,Pablo Torre,es ESP,"MF,FW",20-299,15.0,3,438.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.3,11.0,38.0,23.0,0.0,0.21,0.21,0.0,0.21,0.12,0.13,0.26,0.12,0.26,Matches,Girona,
15,Portu,es ESP,"MF,FW",31-251,16.0,2,411.0,4.6,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1,2.2,9.0,12.0,31.0,0.44,0.66,1.09,0.44,1.09,0.23,0.25,0.48,0.23,0.48,Matches,Girona,
16,Valery Fernández,es ESP,"MF,DF",24-065,17.0,2,395.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,15.0,8.0,38.0,0.46,0.0,0.46,0.46,0.46,0.11,0.12,0.24,0.11,0.24,Matches,Girona,
17,Juanpe,es ESP,DF,32-272,9.0,2,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,
18,Jhon Solis,co COL,MF,19-116,8.0,0,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.33,0.03,0.35,0.33,0.35,Matches,Girona,
19,Antal Yaakobishvili,hu HUN,DF,19-199,1.0,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,Girona,
20,Ibrahima Kebe,ml MLI,MF,23-178,2.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,
21,Bernardo Espinosa,co COL,DF,34-200,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,
22,Silvi Clúa,es ESP,MF,18-363,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,
23,Iker Almena,es ESP,FW,19-268,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
24,Ricard Artero,es ESP,MF,20-356,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
25,Santiago Bueno,uy URU,DF,25-079,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
26,Juan Carlos,es ESP,GK,36-007,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
27,Toni Fuidias,es ESP,GK,22-287,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
28,Borja García,es ESP,"FW,MF",33-086,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
29,Jastin García,es ESP,FW,20-012,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
30,Eric Monjonell,es ESP,DF,22-042,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
31,Manu Vallejo,es ESP,"FW,MF",26-347,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,
32,Squad Total,,,26.7,21.0,231,1890.0,21.0,51.0,38.0,89.0,48.0,3.0,3.0,43.0,1.0,38.6,36.3,29.7,66.0,465.0,903.0,897.0,2.43,1.81,4.24,2.29,4.1,1.84,1.41,3.25,1.73,3.14,,Girona,
33,Opponent Total,,,27.9,21.0,231,1890.0,21.0,25.0,18.0,43.0,23.0,2.0,2.0,52.0,2.0,29.7,28.2,21.8,49.9,375.0,698.0,690.0,1.19,0.86,2.05,1.1,1.95,1.42,1.04,2.45,1.34,2.38,,Girona,
0,Ignasi Miquel,es ESP,DF,31-121,,21,1845.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,1.9,4.0,45.0,3.0,0.0,0.05,0.05,0.0,0.05,0.05,0.04,0.09,0.05,0.09,Matches,Granada,21.0
1,Carlos Neva,es ESP,DF,27-229,,21,1801.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,2.3,2.3,23.0,54.0,47.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.12,0.0,0.12,Matches,Granada,21.0
2,Myrto Uzuni,al ALB,"FW,MF",28-241,,18,1541.0,17.1,6.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,6.8,5.3,1.4,6.6,15.0,10.0,62.0,0.35,0.0,0.35,0.23,0.23,0.4,0.08,0.48,0.31,0.39,Matches,Granada,21.0
3,Gerard Gumbau,es ESP,MF,29-040,,18,1525.0,16.9,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.8,0.8,1.8,2.6,12.0,87.0,17.0,0.0,0.12,0.12,0.0,0.12,0.05,0.11,0.16,0.05,0.16,Matches,Granada,19.0
4,Bryan Zaragoza,es ESP,"MF,FW",22-277,,17,1548.0,17.2,6.0,2.0,8.0,5.0,1.0,1.0,5.0,0.0,3.6,2.8,3.2,6.0,93.0,34.0,120.0,0.35,0.12,0.47,0.29,0.41,0.21,0.19,0.4,0.16,0.35,Matches,Granada,20.0
5,Lucas Boyé,ar ARG,FW,27-333,,17,1393.0,15.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,3.3,3.3,2.1,5.4,17.0,34.0,60.0,0.19,0.19,0.39,0.19,0.39,0.22,0.13,0.35,0.21,0.35,Matches,Granada,17.0
6,Ricard Sánchez,es ESP,DF,23-339,,16,1435.0,15.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.3,0.3,1.2,1.5,31.0,50.0,59.0,0.13,0.0,0.13,0.13,0.13,0.02,0.07,0.09,0.02,0.09,Matches,Granada,19.0
7,André Ferreira,pt POR,GK,27-243,,14,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,15.0
8,Sergio Ruiz,es ESP,MF,29-042,,14,1210.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.5,0.8,14.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Matches,Granada,19.0
9,Gonzalo Villar,es ESP,MF,25-310,,13,1111.0,12.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.2,2.5,14.0,50.0,12.0,0.08,0.24,0.32,0.08,0.32,0.11,0.1,0.2,0.11,0.2,Matches,Granada,19.0
10,Raúl Torrente,es ESP,DF,22-138,,11,1034.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.6,2.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Granada,13.0
11,Óscar Melendo,es ESP,"MF,FW",26-157,,10,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.5,16.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Granada,15.0
12,José Callejón,es ESP,"MF,FW",36-350,,7,621.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.8,8.0,24.0,38.0,0.0,0.14,0.14,0.0,0.14,0.15,0.11,0.26,0.15,0.26,Matches,Granada,18.0
13,Miguel Ángel Rubio,es ESP,DF,25-322,,6,571.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.5,1.0,8.0,0.0,0.16,0.0,0.16,0.16,0.16,0.07,0.01,0.08,0.07,0.08,Matches,Granada,8.0
14,Antonio Puertas,es ESP,"MF,FW",31-340,,5,619.0,6.9,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.3,1.6,0.6,2.2,18.0,19.0,40.0,0.0,0.29,0.29,0.0,0.29,0.34,0.09,0.43,0.23,0.32,Matches,Granada,20.0
15,Álvaro Carreras,es ESP,"MF,FW",20-310,,5,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,13.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches,Granada,13.0
16,Raúl Fernández,es ESP,GK,35-320,,4,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,4.0
17,Augusto Batalla,ar ARG,GK,27-272,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Granada,3.0
18,Bruno Méndez,uy URU,DF,24-139,,3,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Granada,3.0
19,Wilson Manafá,pt POR,"DF,MF",29-188,,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,Granada,4.0
20,Víctor Díaz,es ESP,"DF,MF",35-229,,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,4.0
21,Jesús Vallejo,es ESP,DF,27-022,,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,3.0
22,Kamil Piątkowski,pl POL,DF,23-220,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,1.0
23,Samuel Omorodion,es ESP,FW,19-267,,1,80.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,3.0,1.13,0.0,1.13,1.13,1.13,0.78,0.05,0.84,0.78,0.84,Matches,Granada,1.0
24,Njegoš Petrović,rs SRB,"MF,FW",24-193,,0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Granada,10.0
25,Famara Diedhiou,sn SEN,"FW,MF",31-043,,0,89.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,5.0,0.0,19.0,0.0,1.01,1.01,0.0,1.01,0.5,0.21,0.71,0.5,0.71,Matches,Granada,8.0
26,Shon Weissman,il ISR,FW,27-347,,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Granada,5.0
27,Matias Arezo,uy URU,FW,21-067,,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches,Granada,3.0
28,Adri Bosch,es ESP,DF,22-232,,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,1.0
29,Alberto Soro,es ESP,MF,24-324,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches,Granada,1.0
30,Martin Hongla,cm CMR,MF,25-317,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Granada,1.0
31,Alberto Perea,es ESP,"MF,FW",33-039,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,4.87,0.0,4.87,Matches,Granada,2.0
32,Fran Árbol,es ESP,GK,17-211,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
33,Mario González,es ESP,MF,19-356,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
34,Adrián López,es ESP,GK,25-018,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
35,Pablo Saenz,,FW,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
36,Lassina Sangare,ci CIV,MF,22-068,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
37,Pol Tristán,es ESP,GK,21-315,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Granada,0.0
38,Squad Total,,,27.5,,231,1890.0,21.0,20.0,17.0,37.0,17.0,3.0,4.0,55.0,2.0,23.8,20.6,17.9,38.5,300.0,568.0,559.0,0.95,0.81,1.76,0.81,1.62,1.13,0.85,1.98,0.98,1.83,,Granada,21.0
39,Opponent Total,,,27.7,,231,1890.0,21.0,40.0,29.0,69.0,37.0,3.0,4.0,59.0,3.0,36.0,32.9,24.5,57.4,395.0,789.0,782.0,1.9,1.38,3.29,1.76,3.14,1.72,1.17,2.89,1.57,2.74,,Granada,21.0
0,Álvaro Vallés,es ESP,GK,26-186,21.0,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,
1,Munir El Haddadi,ma MAR,FW,28-148,21.0,20,1571.0,17.5,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,3.2,2.5,1.2,3.7,17.0,45.0,107.0,0.11,0.06,0.17,0.11,0.17,0.19,0.07,0.25,0.14,0.21,Matches,Las-Palmas,
2,Kirian Rodríguez,es ESP,MF,27-328,20.0,19,1681.0,18.7,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,1.1,1.1,1.0,2.1,24.0,162.0,36.0,0.27,0.05,0.32,0.27,0.32,0.06,0.06,0.11,0.06,0.11,Matches,Las-Palmas,
3,Mika Màrmol,es ESP,DF,21-209,19.0,19,1668.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.1,0.1,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,Las-Palmas,
4,Sergi Cardona,es ESP,DF,24-203,20.0,17,1644.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,1.8,2.4,33.0,80.0,84.0,0.0,0.05,0.05,0.0,0.05,0.03,0.1,0.13,0.03,0.13,Matches,Las-Palmas,
5,Javier Muñoz,es ESP,MF,28-333,21.0,17,1508.0,16.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.8,2.0,16.0,73.0,75.0,0.06,0.12,0.18,0.06,0.18,0.07,0.05,0.12,0.07,0.12,Matches,Las-Palmas,
6,Álex Suárez,es ESP,DF,30-315,17.0,16,1370.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.3,12.0,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Las-Palmas,
7,Saúl Coco,gq EQG,DF,24-352,16.0,13,1209.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.0,0.7,7.0,39.0,0.0,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.05,0.05,0.05,Matches,Las-Palmas,
8,Enzo Loiodice,fr FRA,MF,23-061,21.0,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,17.0,55.0,42.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,Las-Palmas,
9,Julian Araujo,mx MEX,DF,22-167,16.0,10,996.0,11.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.8,1.5,20.0,48.0,26.0,0.09,0.0,0.09,0.09,0.09,0.06,0.07,0.13,0.06,0.13,Matches,Las-Palmas,
10,Máximo Perrone,ar ARG,MF,21-020,18.0,10,929.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,8.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Las-Palmas,
11,Sandro Ramírez,es ESP,FW,28-202,10.0,8,705.0,7.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,1.9,27.0,15.0,85.0,0.0,0.26,0.26,0.0,0.26,0.1,0.14,0.24,0.1,0.24,Matches,Las-Palmas,
12,Alberto Moleiro,es ESP,"FW,MF",20-119,11.0,8,646.0,7.2,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,25.0,22.0,73.0,0.28,0.42,0.7,0.28,0.7,0.05,0.15,0.21,0.05,0.21,Matches,Las-Palmas,
13,Jonathan Viera,es ESP,"MF,FW",34-098,9.0,7,617.0,6.9,2.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,2.3,0.7,1.0,1.7,26.0,65.0,37.0,0.29,0.15,0.44,0.0,0.15,0.33,0.14,0.47,0.1,0.24,Matches,Las-Palmas,
14,Sory Kaba,gn GUI,FW,28-183,12.0,7,584.0,6.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.2,1.6,7.0,10.0,33.0,0.15,0.15,0.31,0.15,0.31,0.21,0.03,0.24,0.21,0.24,Matches,Las-Palmas,
15,Francisco Jesús Crespo García,es ESP,FW,27-182,10.0,6,428.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,15.0,17.0,52.0,0.21,0.0,0.21,0.21,0.21,0.21,0.06,0.27,0.21,0.27,Matches,Las-Palmas,
16,Marvin,es ESP,"FW,MF",23-208,16.0,5,708.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.9,2.3,21.0,11.0,81.0,0.0,0.25,0.25,0.0,0.25,0.06,0.24,0.29,0.06,0.29,Matches,Las-Palmas,
17,Marc Cardona,es ESP,FW,28-203,12.0,5,407.0,4.5,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.8,1.0,0.1,1.1,6.0,4.0,34.0,0.44,0.0,0.44,0.22,0.22,0.39,0.02,0.4,0.22,0.23,Matches,Las-Palmas,
18,Daley Sinkgraven,nl NED,DF,28-207,7.0,4,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,
19,Álvaro Lemos,es ESP,DF,30-303,3.0,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Las-Palmas,
20,Juan Herzog,es ESP,DF,20-259,2.0,2,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.09,0.0,0.09,0.09,0.09,Matches,Las-Palmas,
21,Cristian Herrera,es ESP,FW,32-320,6.0,1,127.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.9,2.0,6.0,9.0,0.71,0.0,0.71,0.71,0.71,0.62,0.03,0.65,0.62,0.65,Matches,Las-Palmas,
22,Eric Curbelo,es ESP,DF,30-013,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,
23,Omenuke Mfulu,cd COD,"MF,FW",29-313,5.0,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,
24,Benito Ramírez,es ESP,"FW,MF",28-200,10.0,0,155.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,4.0,2.0,22.0,0.58,0.0,0.58,0.58,0.58,0.15,0.04,0.19,0.15,0.19,Matches,Las-Palmas,
25,Iñaki González,es ESP,MF,19-184,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,
26,Aarón Escandell,es ESP,GK,28-122,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,
27,Pau Ferrer,es ESP,FW,20-102,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,
28,Fabio González,es ESP,MF,26-349,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,
29,Ale Gorrin,es ESP,GK,21-172,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,
30,Squad Total,,,26.2,21.0,231,1890.0,21.0,21.0,14.0,35.0,18.0,3.0,4.0,52.0,2.0,17.4,14.2,12.2,26.4,307.0,839.0,826.0,1.0,0.67,1.67,0.86,1.52,0.83,0.58,1.41,0.68,1.26,,Las-Palmas,
31,Opponent Total,,,28.0,21.0,231,1890.0,21.0,17.0,11.0,28.0,14.0,3.0,5.0,53.0,3.0,30.1,26.4,21.1,47.4,360.0,717.0,708.0,0.81,0.52,1.33,0.67,1.19,1.44,1.0,2.44,1.26,2.26,,Las-Palmas,
0,Predrag Rajković,rs SRB,GK,28-089,21.0,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Mallorca,
1,Dani Rodríguez,es ESP,"MF,FW",35-236,20.0,19,1604.0,17.8,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,2.9,4.0,35.0,70.0,55.0,0.11,0.17,0.28,0.11,0.28,0.06,0.16,0.22,0.06,0.22,Matches,Mallorca,
2,Samu Costa,pt POR,MF,23-062,21.0,18,1639.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.5,1.5,11.0,69.0,23.0,0.05,0.05,0.11,0.05,0.11,0.05,0.03,0.08,0.05,0.08,Matches,Mallorca,
